load_size,workload_type,ops_per_sec
10000,write-heavy,161290.32
10000,read-heavy,344827.58
10000,balanced,169491.52
14444,write-heavy,218848.48
14444,read-heavy,437696.96
14444,balanced,218848.48
18888,write-heavy,314800.00
18888,read-heavy,651310.34
18888,balanced,290584.61
23333,write-heavy,388883.33
23333,read-heavy,752677.41
23333,balanced,376338.70
27777,write-heavy,440904.76
27777,read-heavy,925900.00
27777,balanced,434015.62
32222,write-heavy,511460.31
32222,read-heavy,1074066.66
32222,balanced,511460.31
36666,write-heavy,591387.09
36666,read-heavy,928253.16
36666,balanced,547253.73
41111,write-heavy,587300.00
41111,read-heavy,1174600.00
41111,balanced,613597.01
45555,write-heavy,679925.37
45555,read-heavy,979677.41
45555,balanced,711796.87
50000,write-heavy,632911.39
50000,read-heavy,1470588.23
50000,balanced,537634.40
